CIS;CIS_Denomination;CIS_Forme_pharmaceutique;CIS_Voies_administration;CIS_Statut_AMM;CIS_Type_procedure_AMM;CIS_Etat_commercialisation;CIS_Date_AMM;CIS_StatutBdm;CIS_Numero_AMM_europeenne;CIS_Titulaires;CIS_Surveillance_renforcee;CIP_CIS;CIP_CIP7;CIP_Libelle_presentation;CIP_Statut_presentation;CIP_Etat_commercialisation;CIP_Date_declaration_commercialisation;CIP_CIP13;CIP_Agrement_collectivites;CIP_Taux_remboursement;CIP_Prix_medicament_euro;CIP_Prix_public_France_euro;CIP_Honoraires_dispensation_euro;CIP_Indications_remboursement;compo_dosage_texte
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3002077;1 tube de 120 g;Présentation active;Déclaration d'arrêt de commercialisation;30/04/2023;3400930020777;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3014251;1 tube de 45 g;Présentation active;Déclaration de commercialisation;18/02/2019;3400930142516;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3019984;1 tube de 45 g;Présentation active;Déclaration de commercialisation;26/10/2020;3400930199848;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3019985;1 tube de 120 g;Présentation active;Déclaration de commercialisation;14/12/2020;3400930199855;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3025769;12 sachet de 2 g;Présentation active;Déclaration de commercialisation;26/06/2023;3400930257692;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3565027;1 tube de 45 g;Présentation active;Déclaration d'arrêt de commercialisation;31/05/2023;3400935650276;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019813;LENALIDOMIDE ARROW 2,5 mg, gélule;gélule;orale;Autorisation active;Procédure décentralisée;Commercialisée;29/09/2021;;;EUGIA PHARMA (MALTA) (MALTE);Non;60019813;3023853;plaquette de 7 gélules;Présentation active;Déclaration de commercialisation;01/03/2022;3400930238530;oui;;;;;;LÉNALIDOMIDE : 2,5 mg pour une gélule
60019927;SOLIAN 100 mg, comprimé sécable;comprimé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;25/11/1998;;;SANOFI WINTHROP INDUSTRIE;Non;60019927;3487474;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;25/05/1999;3400934874741;oui;65%;9,39;10,41;1,02;;AMISULPRIDE : 100 mg pour un comprimé
60019927;SOLIAN 100 mg, comprimé sécable;comprimé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;25/11/1998;;;SANOFI WINTHROP INDUSTRIE;Non;60019927;5613121;plaquette de 150 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;30/12/2021;3400956131211;non;;;;;;AMISULPRIDE : 100 mg pour un comprimé
60021127;SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;28/03/1997;;;VIATRIS SANTE;Non;60021127;3496817;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;13/03/2000;3400934968174;oui;65%;3,64;4,66;1,02;;SPIRONOLACTONE : 75,00 mg pour un comprimé
60021127;SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;28/03/1997;;;VIATRIS SANTE;Non;60021127;3738338;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;06/10/2015;3400937383387;oui;65%;10,53;13,29;2,76;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>¿ Hyperaldostéronisme primaire ou réactionnel à un traitement diurétique<br>¿ Hypertension artérielle ; JOURNAL OFFICIEL ; 01/11/06";SPIRONOLACTONE : 75,00 mg pour un comprimé
60021216;PERSANTINE 75 mg, comprimé enrobé;comprimé enrobé;orale;Autorisation active;Procédure nationale;Commercialisée;25/04/1988;;;GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE;Non;60021216;3082033;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;19/01/1969;3400930820339;non;;;;;;DIPYRIDAMOLE : 75 mg pour un comprimé
60021312;CLARELUX 500 microgrammes/g, mousse pour application cutanée en flacon pressurisé;mousse pour application;cutanée;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;17/04/2012;;;PIERRE FABRE MEDICAMENT;Non;60021312;2165828;1 flacon de 100 g;Présentation active;Déclaration de commercialisation;27/03/2013;3400921658286;oui;65%;8,42;9,44;1,02;;PROPIONATE DE CLOBÉTASOL : 500 microgrammes pour 1 g de mousse
60021771;FIBROVEIN 3 %, solution injectable;solution injectable;intraveineuse;Autorisation active;Procédure décentralisée;Commercialisée;13/12/2013;;;STD PHARMACEUTICAL (IRELAND) (IRLANDE);Non;60021771;2688360;5 ampoule de 2 ml;Présentation active;Déclaration de commercialisation;04/12/2014;3400926883607;non;;;;;;TÉTRADÉCYL SULFATE DE SODIUM : 30 mg pour 1 ml de solution injectable
60021928;SILODOSINE VIATRIS 8 mg, gélule;gélule;orale;Autorisation active;Procédure décentralisée;Commercialisée;26/02/2019;;;VIATRIS SANTE;Non;60021928;3017344;plaquette de 30 gélules;Présentation active;Déclaration de commercialisation;03/02/2020;3400930173442;oui;30 %;4,39;5,41;1,02;;SILODOSINE : 8 mg pour une gélule
60022275;EPINITRIL 5 mg/24 heures, dispositif transdermique;dispositif;transdermique;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;21/05/2002;;;BOUCHARA-RECORDATI;Non;60022275;3589884;30 sachet de 1 dispositif;Présentation active;Déclaration de commercialisation;16/04/2003;3400935898845;oui;65%;11,90;12,92;1,02;;TRINITRINE : 15,70 mg pour un dispositif
60023270;DORZOLAMIDE CRISTERS 20 mg/ml, collyre en solution;collyre en solution;ophtalmique;Autorisation active;Procédure nationale;Non commercialisée;17/01/2019;Warning disponibilité;;CRISTERS;Non;60023270;3016779;1 flacon de 5 ml;Présentation active;Déclaration d'arrêt de commercialisation;30/09/2025;3400930167793;non;65%;4,41;5,43;1,02;;CHLORHYDRATE DE DORZOLAMIDE : 22,26 mg pour 1 mL de collyre
60025054;ADEMPAS 1,5 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure centralisée;Commercialisée;27/03/2014;;EU/1/13/907;BAYER AG (ALLEMAGNE);Non;60025054;2784968;plaquette de 42 comprimés;Présentation active;Déclaration de commercialisation;19/05/2014;3400927849688;oui;30%;702,60;703,62;1,02;;RIOCIGUAT : 1,50 mg pour un comprimé
60025054;ADEMPAS 1,5 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure centralisée;Commercialisée;27/03/2014;;EU/1/13/907;BAYER AG (ALLEMAGNE);Non;60025054;2784980;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;24/06/2014;3400927849800;oui;30%;1,466,29;1,469,05;2,76;;RIOCIGUAT : 1,50 mg pour un comprimé
60025314;MACROGOL 3350 MAYOLY SPINDLER 8,5 g, poudre pour solution buvable en sachet;poudre pour solution buvable;orale;Autorisation abrogée;Procédure décentralisée;Non commercialisée;19/06/2017;Warning disponibilité;;LABORATOIRES MAYOLY SPINDLER;Non;60025314;3009265;28 sachet de 8,5 mg;Présentation active;Déclaration d'arrêt de commercialisation;30/06/2023;3400930092651;non;;;;;;MACROGOL 3350 : 8,5 g pour un sachet
60025403;EFFERALGANMED 1000 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;12/08/2004;;;UPSA;Non;60025403;3648546;plaquette de 8 comprimés;Présentation active;Déclaration de commercialisation;12/10/2011;3400936485464;oui;65 %;1,16;2,18;1,02;;PARACÉTAMOL : 1000 mg pour un comprimé
60026494;KALOBA 20 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Enreg phyto (Proc. Nat.);Commercialisée;03/04/2015;;;WILLMAR SCHWABE;Non;60026494;3000753;plaquette de 21 comprimés;Présentation active;Déclaration de commercialisation;01/11/2017;3400930007532;non;;;;;;PÉLARGONIUM (EXTRAIT FLUIDE DE RACINE DE) : 20 mg pour un comprimé
60026957;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable;comprimé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;26/08/2005;;;TEVA SANTE;Non;60026957;3682098;plaquette de 20 comprimés;Présentation active;Déclaration de commercialisation;24/11/2005;3400936820982;oui;65%;1,58;2,60;1,02;;GLIBENCLAMIDE : 5 mg pour un comprimé
60026957;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable;comprimé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;26/08/2005;;;TEVA SANTE;Non;60026957;3701625;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;14/03/2006;3400937016254;oui;65%;5,21;6,23;1,02;;GLIBENCLAMIDE : 5 mg pour un comprimé
60026957;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable;comprimé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;26/08/2005;;;TEVA SANTE;Non;60026957;3875331;plaquette de 180 comprimés;Présentation active;Déclaration de commercialisation;25/11/2008;3400938753318;oui;65%;9,90;10,92;1,02;;GLIBENCLAMIDE : 5 mg pour un comprimé
60027685;ELMIRON 100 mg, gélule;gélule;orale;Autorisation active;Procédure centralisée;Commercialisée;02/06/2017;;EU/1/17/1189;BENE - ARZNEIMITTEL (ALLEMAGNE);Non;60027685;3009863;1 flacon de sécurité enfant de 90 gélules;Présentation active;Déclaration de commercialisation;16/12/2017;3400930098639;oui;15 %;515,44;516,46;1,02;;PENTOSANE POLYSULFATE SODIQUE : 100 mg pour une gélule
60028050;GABAPENTINE RANBAXY 400 mg, gélule;gélule;orale;Autorisation abrogée;Procédure nationale;Non commercialisée;21/11/2007;Warning disponibilité;;RANBAXY PHARMACIE GENERIQUES;Non;60028050;3826491;plaquette de 90 gélules;Présentation active;Déclaration d'arrêt de commercialisation;27/08/2021;3400938264913;non;65%;21,76;22,78;1,02;;GABAPENTINE : 400 mg pour une gélule
60028495;DOLIRHUMEPRO PARACETAMOL, PSEUDOEPHEDRINE ET DOXYLAMINE, comprimé;comprimé et  comprimé;orale;Autorisation active;Procédure nationale;Non commercialisée;15/12/2005;Warning disponibilité;;OPELLA HEALTHCARE FRANCE;Non;60028495;3698604;plaquette de 16 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;12/12/2025;3400936986046;non;;;;;;"PARACÉTAMOL : 500 mg pour un comprimé ; CHLORHYDRATE DE PSEUDOÉPHÉDRINE : 30 mg pour un comprimé ; PARACÉTAMOL : 500 mg pour un comprimé ; HYDROGÉNOSUCCINATE DE DOXYLAMINE : 7,5 mg pour un comprimé"
60028552;TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule;solution injectable;intraveineuse;Autorisation active;Procédure nationale;Commercialisée;21/05/1986;;;ASPEN PHARMA TRADING (IRLANDE);Non;60028552;5651179;5 ampoule de 2,5 ml;Présentation active;Déclaration de commercialisation;26/04/2004;3400956511792;oui;;;;;;BÉSILATE D'ATRACURIUM : 25 mg pour une ampoule
