Libellé;CIP13
PERSANTINE 75 mg, comprimé enrobé, DIPYRIDAMOLE : 75 mg pour un comprimé, comprimé enrobé, plaquette de 30 comprimés;3400930820339
CLARELUX 500 microgrammes/g, mousse pour application cutanée en flacon pressurisé, PROPIONATE DE CLOBÉTASOL : 500 microgrammes pour 1 g de mousse, mousse pour application, 1 flacon de 100 g;3400921658286
FIBROVEIN 3 %, solution injectable, TÉTRADÉCYL SULFATE DE SODIUM : 30 mg pour 1 ml de solution injectable, solution injectable, 5 ampoule de 2 ml;3400926883607
SILODOSINE VIATRIS 8 mg, gélule, SILODOSINE : 8 mg pour une gélule, gélule, plaquette de 30 gélules;3400930173442
EPINITRIL 5 mg/24 heures, dispositif transdermique, TRINITRINE : 15,70 mg pour un dispositif, dispositif, 30 sachet de 1 dispositif;3400935898845
DORZOLAMIDE CRISTERS 20 mg/ml, collyre en solution, CHLORHYDRATE DE DORZOLAMIDE : 22,26 mg pour 1 mL de collyre, collyre en solution, 1 flacon de 5 ml;3400930167793
ADEMPAS 1,5 mg, comprimé pelliculé, RIOCIGUAT : 1,50 mg pour un comprimé, comprimé pelliculé, plaquette de 42 comprimés;3400927849688
ADEMPAS 1,5 mg, comprimé pelliculé, RIOCIGUAT : 1,50 mg pour un comprimé, comprimé pelliculé, plaquette de 90 comprimés;3400927849800
MACROGOL 3350 MAYOLY SPINDLER 8,5 g, poudre pour solution buvable en sachet, MACROGOL 3350 : 8,5 g pour un sachet, poudre pour solution buvable, 28 sachet de 8,5 mg;3400930092651
EFFERALGANMED 1000 mg, comprimé pelliculé, PARACÉTAMOL : 1000 mg pour un comprimé, comprimé pelliculé, plaquette de 8 comprimés;3400936485464
KALOBA 20 mg, comprimé pelliculé, PÉLARGONIUM (EXTRAIT FLUIDE DE RACINE DE) : 20 mg pour un comprimé, comprimé pelliculé, plaquette de 21 comprimés;3400930007532
GLIBENCLAMIDE TEVA 5 mg, comprimé sécable, GLIBENCLAMIDE : 5 mg pour un comprimé, comprimé sécable, plaquette de 20 comprimés;3400936820982
GLIBENCLAMIDE TEVA 5 mg, comprimé sécable, GLIBENCLAMIDE : 5 mg pour un comprimé, comprimé sécable, plaquette de 90 comprimés;3400937016254
GLIBENCLAMIDE TEVA 5 mg, comprimé sécable, GLIBENCLAMIDE : 5 mg pour un comprimé, comprimé sécable, plaquette de 180 comprimés;3400938753318
ELMIRON 100 mg, gélule, PENTOSANE POLYSULFATE SODIQUE : 100 mg pour une gélule, gélule, 1 flacon de sécurité enfant de 90 gélules;3400930098639
GABAPENTINE RANBAXY 400 mg, gélule, GABAPENTINE : 400 mg pour une gélule, gélule, plaquette de 90 gélules;3400938264913
"DOLIRHUMEPRO PARACETAMOL, PSEUDOEPHEDRINE ET DOXYLAMINE, comprimé, PARACÉTAMOL : 500 mg pour un comprimé ; CHLORHYDRATE DE PSEUDOÉPHÉDRINE : 30 mg pour un comprimé ; PARACÉTAMOL : 500 mg pour un comprimé ; HYDROGÉNOSUCCINATE DE DOXYLAMINE : 7,5 mg pour un comprimé, comprimé et  comprimé, plaquette de 16 comprimés";3400936986046
TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule, BÉSILATE D'ATRACURIUM : 25 mg pour une ampoule, solution injectable, 5 ampoule de 2,5 ml;3400956511792
TADALAFIL EG 10 mg, comprimé pelliculé, TADALAFIL : 10 mg pour un comprimé, comprimé pelliculé, plaquette de 4 comprimés;3400930081273
THERASOLV 100 000 UI, poudre pour solution injectable/pour perfusion, UROKINASE (MAMMIFERE/HUMAIN/URINE) : 100 000 UI pour un flacon, poudre pour solution injectable ou pour perfusion, 1 flacon de 8 ml;3400955067535
MEDIFLOR N°7 CONTRE LA CONSTIPATION PASSAGERE, mélange de plantes pour tisane en sachet-dose, SÉNÉ (FEUILLE DE) : 0,72 g pour un sachet-dose de 1,8 g, mélange de plantes pour tisane, 24 sachet de 1,8 g;3400933993337
