code à 7 chiffres;libellé;url
1115047;NUT,ENT,ADUL,SEM-ELE,HYPERPRO,HYPERE,NUTRICIA,NUTRISON PEPTISORB PLUS HEHP,500ML;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1115047&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1115219;NUT. ORALE, HYDROLYSAT PROT, ENFANT, PDR, 17 RATIONS 200 ML,NESTLE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1115219&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1116443;TENS, ACHAT DE L APPAREIL FOURNI AVEC DEUX CABLES,BLUETENS FRANCE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1116443&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1116880;NUTRITION ENTERALE, FRESENIUS, NUTRIMENT STANDARD, NUTRODRIP DB OU NOVASOURCE DB;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1116880&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1117201;COLLECTEUR, URINES ET MATIERES FECALES, 10 SUPPORTS POCHE DE STOMIE NON STANDARD;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1117201&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1117454;AUTOCONTROLE, 50 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,SANOFI-AVENTIS;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1117454&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1118040;AUTOCONTROLE , SET D AUTOSURVEILLANCE DE LA GLYCEMIE,GROUPE SNM;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1118040&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1118287;AUTOCONTROLE, 50 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,ROCHE DIAG;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1118287&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1119424;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,ACTIV ' ORTHO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1119424&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1119795;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,IDC GROUP;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1119795&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1120120;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,PIKDARE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1120120&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1120373;AUTOCONTROLE , SET D'AUTOSURVEILLANCE DE LA GLYCEMIE,ALPHADIAB;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1120373&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1120396;NUTRITION ENTERALE, SONDE EN PVC NASO GASTRIQUE OU NASO ENTERALE,VYGON;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1120396&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1120597;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,ORTHO MORINIERE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1120597&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1121237;URO-GENITAL, ELECTROSTIMULATEUR NEUROMUSCULAIRE, ACHAT,EFFIK;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1121237&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1121250;ALIMENT SANS GLUTEN, FARINE, 500 G,BMD;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1121250&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1121600;NUT. ENTERALE, MEL POLY NP. NE., UN AN A 3 ANS, 500 ML,NUTRICIA;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1121600&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1121987;URO-GENITAL, ELECTROSTIMULATEUR NEUROMUSCULAIRE, ACHAT,MONATH ELEC;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1121987&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1122509;VENTILATION ASSISTEE POUR TRACHEOTOMISES;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1122509&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1122975;NUT. ENTERALE, ADULTE, MEL POLY HYPERPROT. HYPERENERG, 1000 ML,LACTALIS NUT;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1122975&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1123006;AUTOCONTROLE, 50 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,ROCHE DIAG;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1123006&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1123414;DIGESTIF, COLLECTEUR MATIERES FECALES OU D'OBTURATION STOMIE,BOUCHON AVEC FILTRE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1123414&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1123710;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,PIKDARE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1123710&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1123911;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,ORTHO EUROPE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1123911&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1124566;DEBITMETRE DE POINTE QUELLE QUE SOIT LA CONFORMATION,FRAFITO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1124566&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1124690;NUT. ENTERALE, ADULTE, MEL POLY HYPERPROT. HYPERENERG, 1000 ML,FRESENIUS KABI;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1124690&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1124827;ALIMENT SANS GLUTEN, PAIN, 100 G,SCHNITZER;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1124827&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
